zpid,streetAddress,zipcode,city,state,latitude,longitude,price,bathrooms,bedrooms,livingArea,homeType,homeStatus,daysOnZillow,isFeatured,shouldHighlight,zestimate,rentZestimate,listing_sub_type,isUnmappable,isPreforeclosureAuction,homeStatusForHDP,priceForHDP,isNonOwnerOccupied,isPremierBuilder,isZillowOwned,currency,country,taxAssessedValue,lotAreaValue,lotAreaUnit,datePriceChanged,priceReduction,priceChange,unit,openHouse,open_house_info,newConstructionType,videoCount
2009964,2616 Pillsbury Ave,55408,Minneapolis,MN,44.954887,-93.281784,490000,2,4,2437,SINGLE_FAMILY,FOR_SALE,-1,FALSE,FALSE,484300,2499,{'is_FSBA': True},FALSE,FALSE,FOR_SALE,490000,TRUE,FALSE,FALSE,USD,USA,471000,5227.2,sqft,1.66798E+12,"$5,000 (Nov 9)",-5000,,,,,
1782392,4330 Wentworth Ave,55409,Minneapolis,MN,44.924057,-93.2809,342499,2,3,1420,SINGLE_FAMILY,FOR_SALE,-1,FALSE,FALSE,336600,1900,{'is_FSBA': True},FALSE,FALSE,FOR_SALE,342499,TRUE,FALSE,FALSE,USD,USA,319000,5227.2,sqft,1.66962E+12,"$2,500 (Nov 28)",-2500,,,,,
71814790,250 Park Ave UNIT 411,55415,Minneapolis,MN,44.977085,-93.259605,275000,1,2,1030,CONDO,FOR_SALE,-1,FALSE,FALSE,269021,1995,{'is_FSBA': True},FALSE,FALSE,FOR_SALE,275000,TRUE,FALSE,FALSE,USD,USA,300000,0.64,acres,1.66781E+12,"$14,000 (Nov 7)",-14000,Unit 411,,,,
1838990,2506 Logan Ave N,55411,Minneapolis,MN,45.005367,-93.302826,199000,1,2,904,SINGLE_FAMILY,FOR_SALE,-1,FALSE,FALSE,193000,1450,{'is_FSBA': True},FALSE,FALSE,FOR_SALE,199000,TRUE,FALSE,FALSE,USD,USA,187000,4791.6,sqft,,,,,,,,
1728213,3843 Russell Ave N,55412,Minneapolis,MN,45.02531,-93.31127,299900,2,3,1416,SINGLE_FAMILY,FOR_SALE,-1,FALSE,FALSE,293900,1895,{'is_FSBA': True},FALSE,FALSE,FOR_SALE,299900,TRUE,FALSE,FALSE,USD,USA,286000,5227.2,sqft,,,,,,,,
1774888,3009 Emerson Ave N,55411,Minneapolis,MN,45.011707,-93.29467,239900,2,6,1876,SINGLE_FAMILY,FOR_SALE,-1,FALSE,FALSE,233800,1983,{'is_FSBA': True},FALSE,FALSE,FOR_SALE,239900,TRUE,FALSE,FALSE,USD,USA,142000,9147.6,sqft,,,,,,,,
1792161,4501 Portland Ave,55407,Minneapolis,MN,44.921383,-93.267235,394900,2,4,2456,SINGLE_FAMILY,FOR_SALE,-1,FALSE,FALSE,388800,1995,{'is_FSBA': True},FALSE,FALSE,FOR_SALE,394900,TRUE,FALSE,FALSE,USD,USA,382000,4791.6,sqft,1.66859E+12,"$5,000 (Nov 16)",-5000,,,,,
2000568,2521 Dupont Ave S,55405,Minneapolis,MN,44.956635,-93.29278,374900,2,4,1800,SINGLE_FAMILY,FOR_SALE,-1,FALSE,FALSE,368774,2549,{'is_FSBA': True},FALSE,FALSE,FOR_SALE,374900,TRUE,FALSE,FALSE,USD,USA,398000,5227.2,sqft,1.66297E+12,"$25,000 (Sep 12)",-25000,,,,,
1771430,815 38th St W,55409,Minneapolis,MN,44.93391,-93.290245,280000,2,2,1080,SINGLE_FAMILY,FOR_SALE,-1,FALSE,FALSE,273800,1694,{'is_FSBA': True},FALSE,FALSE,FOR_SALE,280000,TRUE,FALSE,FALSE,USD,USA,254000,2613.6,sqft,1.37517E+12,,80100,,,,,
1928280,810 29th Ave S,55454,Minneapolis,MN,44.964832,-93.23027,399900,2,5,2203,SINGLE_FAMILY,FOR_SALE,-1,FALSE,FALSE,393700,2441,{'is_FSBA': True},FALSE,FALSE,FOR_SALE,399900,TRUE,FALSE,FALSE,USD,USA,316800,6534,sqft,1.6685E+12,"$10,000 (Nov 15)",-10000,,,,,
