zpid,streetAddress,zipcode,city,state,latitude,longitude,price,bathrooms,bedrooms,livingArea,homeType,homeStatus,daysOnZillow,isFeatured,shouldHighlight,zestimate,rentZestimate,listing_sub_type,isUnmappable,isPreforeclosureAuction,homeStatusForHDP,priceForHDP,isNonOwnerOccupied,isPremierBuilder,isZillowOwned,currency,country,taxAssessedValue,lotAreaValue,lotAreaUnit,datePriceChanged,priceReduction,priceChange,providerListingID,newConstructionType,unit,videoCount,openHouse,open_house_info
316356638,4362 Monarch Dr,55129,Woodbury,MN,44.885445,-92.903984,549900,2,2,1751,TOWNHOUSE,FOR_SALE,-1,FALSE,FALSE,541440,2295,{'is_newHome': True},FALSE,FALSE,FOR_SALE,549900,TRUE,FALSE,FALSE,USD,USA,130500,7405.2,sqft,,,,,NEW_CONSTRUCTION_TYPE_OTHER,,,,
2069792186,Monarch Dr,55129,Saint Paul,MN,44.886967,-92.90473,509900,2,2,1647,SINGLE_FAMILY,FOR_SALE,-1,FALSE,FALSE,501362,2086,{'is_newHome': True},FALSE,FALSE,FOR_SALE,509900,TRUE,FALSE,FALSE,USD,USA,,8276.4,sqft,1.66E+12,,-8000,,BUILDER_SPEC,,,,
55378016,10501 Golden Eagle Trl,55129,Woodbury,MN,44.90667,-92.89275,572000,4,5,3657,SINGLE_FAMILY,FOR_SALE,-1,FALSE,FALSE,562800,3499,{'is_FSBA': True},FALSE,FALSE,FOR_SALE,572000,TRUE,FALSE,FALSE,USD,USA,452100,0.27,acres,1.67E+12,"$9,000 (Nov 17)",-9000,,,,,,
2264858,7086 Military Rd,55129,Woodbury,MN,44.879585,-92.96266,525000,1,2,1376,SINGLE_FAMILY,FOR_SALE,-1,FALSE,FALSE,515800,1679,{'is_comingSoon': True},FALSE,FALSE,FOR_SALE,525000,TRUE,FALSE,FALSE,USD,USA,390000,6.13,acres,,,,,,,,,
63405013,10662 Brookview Pl,55129,Woodbury,MN,44.93596,-92.889656,649900,4,5,3881,SINGLE_FAMILY,FOR_SALE,-1,FALSE,FALSE,640614,3477,{'is_FSBA': True},FALSE,FALSE,FOR_SALE,649900,TRUE,FALSE,FALSE,USD,USA,486900,0.38,acres,1.67E+12,"$25,000 (Oct 31)",-25000,,,,,,
249236675,5035 Dale Ridge Rd,55129,Woodbury,MN,44.87518,-92.915855,120000,,,,LOT,FOR_SALE,-1,FALSE,FALSE,,,{'is_FSBA': True},FALSE,FALSE,FOR_SALE,120000,TRUE,FALSE,FALSE,USD,USA,119000,6098.4,sqft,,,,,,,,,
249236357,5039 Dale Ridge Rd,55129,Woodbury,MN,44.87502,-92.91585,120000,,,,LOT,FOR_SALE,-1,FALSE,FALSE,,,{'is_FSBA': True},FALSE,FALSE,FOR_SALE,120000,TRUE,FALSE,FALSE,USD,USA,119000,7840.8,sqft,,,,,,,,,
249236275,5078 Dale Ridge Rd,55129,Woodbury,MN,44.874603,-92.91475,130000,,,,LOT,FOR_SALE,-1,FALSE,FALSE,,,{'is_FSBA': True},FALSE,FALSE,FOR_SALE,130000,TRUE,FALSE,FALSE,USD,USA,119000,6534,sqft,,,,,,,,,
249235686,5066 Dale Ridge Rd,55129,Woodbury,MN,44.8746,-92.91535,130000,,,,LOT,FOR_SALE,-1,FALSE,FALSE,,,{'is_FSBA': True},FALSE,FALSE,FOR_SALE,130000,TRUE,FALSE,FALSE,USD,USA,119000,6534,sqft,,,,,,,,,
249235721,5070 Dale Ridge Rd,55129,Woodbury,MN,44.8746,-92.915146,130000,,,,LOT,FOR_SALE,-1,FALSE,FALSE,,,{'is_FSBA': True},FALSE,FALSE,FOR_SALE,130000,TRUE,FALSE,FALSE,USD,USA,119000,6534,sqft,,,,,,,,,
