,zpid,streetAddress,zipcode,city,state,latitude,longitude,price,datePriceChanged,bathrooms,bedrooms,livingArea,homeType,homeStatus,daysOnZillow,isFeatured,shouldHighlight,zestimate,rentZestimate,listing_sub_type,priceReduction,isUnmappable,isPreforeclosureAuction,homeStatusForHDP,priceForHDP,priceChange,isNonOwnerOccupied,isPremierBuilder,isZillowOwned,currency,country,taxAssessedValue,lotAreaValue,lotAreaUnit,videoCount,unit,newConstructionType,providerListingID,openHouse,open_house_info
27,67877443,6640 Lyndale Ave S APT 401,55423,Richfield,MN,44.882362,-93.28753,224900,1667370000000.0,2.0,2.0,1080.0,CONDO,FOR_SALE,-1,False,False,,,{'is_FSBA': True},$100 (Nov 2),False,False,FOR_SALE,224900,-100.0,True,False,False,USD,USA,219000.0,4.08,acres,,Apt 401,,,,
28,67877450,6640 Lyndale Ave S APT 408,55423,Richfield,MN,44.882362,-93.28753,235000,1666250000000.0,2.0,2.0,1184.0,CONDO,FOR_SALE,-1,False,False,,,{'is_FSBA': True},"$25,000 (Oct 20)",False,False,FOR_SALE,235000,-25000.0,True,False,False,USD,USA,243000.0,4.08,acres,,Apt 408,,,,
29,1935498,6827 18th Ave S,55423,Richfield,MN,44.878906,-93.2488,275000,1666340000000.0,1.0,3.0,1684.0,SINGLE_FAMILY,FOR_SALE,-1,False,False,,,{'is_FSBA': True},"$20,000 (Oct 21)",False,False,FOR_SALE,275000,-20000.0,True,False,False,USD,USA,265000.0,9147.6,sqft,,,,,,
30,2008956,7626 Nicollet Ave S,55423,Richfield,MN,44.864376,-93.278694,299900,1667550000000.0,2.0,3.0,1426.0,SINGLE_FAMILY,FOR_SALE,-1,False,False,,,{'is_FSBA': True},"$25,100 (Nov 4)",False,False,FOR_SALE,299900,-25100.0,True,False,False,USD,USA,230000.0,10454.4,sqft,,,,,,
31,2015805,7626 12th Ave S,55423,Richfield,MN,44.864517,-93.25838,320000,,2.0,3.0,1748.0,SINGLE_FAMILY,FOR_SALE,-1,False,False,,,{'is_FSBA': True},,False,False,FOR_SALE,320000,,True,False,False,USD,USA,275000.0,10018.8,sqft,,,,,,
32,2015200,7100 Columbus Ave S,55423,Richfield,MN,44.874325,-93.26461,329000,1667550000000.0,2.0,4.0,1810.0,SINGLE_FAMILY,FOR_SALE,-1,False,False,,,{'is_FSBA': True},"$6,000 (Nov 4)",False,False,FOR_SALE,329000,-6000.0,True,False,False,USD,USA,283000.0,9583.2,sqft,,,,,,
33,2000204,7632 Aldrich Ave S,55423,Richfield,MN,44.864292,-93.29014,340000,,2.0,4.0,2166.0,SINGLE_FAMILY,FOR_SALE,-1,False,False,,,{'is_FSBA': True},,False,False,FOR_SALE,340000,,True,False,False,USD,USA,270000.0,9583.2,sqft,,,,,,
34,1949748,6920 Logan Ave S,55423,Richfield,MN,44.877274,-93.30388,345000,1667630000000.0,3.0,4.0,2706.0,SINGLE_FAMILY,FOR_SALE,-1,False,False,,,{'is_FSBA': True},"$15,000 (Nov 5)",False,False,FOR_SALE,345000,-15000.0,True,False,False,USD,USA,337000.0,6534.0,sqft,,,,,,
35,2008264,7320 Portland Ave S,55423,Richfield,MN,44.870064,-93.26849,349900,,2.0,4.0,1714.0,SINGLE_FAMILY,FOR_SALE,-1,False,False,,,{'is_FSBA': True},,False,False,FOR_SALE,349900,,True,False,False,USD,USA,218000.0,6098.4,sqft,,,,,,
36,1942045,6620 3rd Ave S,55423,Richfield,MN,44.88254,-93.27339,367900,1669450000000.0,2.0,4.0,1732.0,SINGLE_FAMILY,FOR_SALE,-1,False,False,,,{'is_FSBA': True},"$2,000 (Nov 26)",False,False,FOR_SALE,367900,-2000.0,True,False,False,USD,USA,223000.0,9583.2,sqft,,,,,,
